OTU001	P1893
OTU001	P1518
OTU001	P1823
OTU001	P1101
OTU001	P1772
OTU001	P1443
OTU001	P1749
OTU001	P1381
OTU001	P1396
OTU001	P1572
OTU001	P1984
OTU001	P2092
OTU001	P2437
OTU001	P1866
OTU001	P2785
OTU001	P2793
OTU001	P1850
OTU001	P1900
OTU001	P2792
OTU001	P2646
OTU001	P2851
OTU001	P2867
OTU001	P1313
OTU001	P1854
OTU001	P2166
OTU001	P2298
OTU001	P2414
OTU001	P2775
OTU001	P2118
OTU001	P2450
OTU001	P1442
OTU001	P1924
OTU001	P1959
OTU001	P2641
OTU001	P2739
OTU001	P2966
OTU001	P1450
OTU001	P2440
OTU001	P6089
OTU001	P1935
OTU001	P1973
OTU001	P2962
OTU001	P1686
OTU001	P2816
OTU001	P2832
OTU001	P2323
OTU001	P6045
OTU001	P1940
OTU001	P1993
OTU001	P2810
OTU001	P6077
OTU001	P1451
OTU001	P1944
OTU001	P2828
OTU001	P1950
OTU001	P2925
OTU001	P1331
OTU001	P1963
OTU001	P1751
OTU001	P1992
OTU001	P1978
OTU001	P2482
OTU001	P6081
OTU001	P2932
OTU002	P2509
OTU002	P2535
OTU002	P6112
OTU002	P2515
OTU002	P2485
OTU002	P2510
OTU002	P2514
OTU002	P2477
OTU002	P2010
OTU002	P2511
OTU002	P6101
OTU002	P2500
OTU002	P6033
OTU003	P1582
OTU003	P2262
OTU003	P2020
OTU003	P2418
OTU004	P1344
OTU004	P1348
OTU005	P2475
OTU005	P2787
OTU006	P2973
OTU006	P2995
OTU007	P1176
OTU007	P2766
OTU008	P2820
OTU009	P1162
OTU010	P1615
OTU011	P2794
OTU012	P1909
OTU013	P1037
OTU014	P1180
OTU015	P1323
OTU016	P1974
OTU017	P2899
